ts_code,trade_date,t_pre_close,t_1_close,diff_pct
000001.SZ,1991-07-19,31.2100,31.6900,0.0151
000001.SZ,1991-08-19,15.8000,29.2400,0.4596
000001.SZ,1991-08-26,15.6000,15.0000,0.0400
000001.SZ,1991-09-09,13.8500,13.7000,0.0109
000001.SZ,1991-10-07,15.9000,15.6000,0.0192
000001.SZ,1991-10-14,24.3000,24.0000,0.0125
000001.SZ,1991-11-11,32.3000,30.5000,0.0590
000001.SZ,1991-11-18,34.5000,35.7000,0.0336
000001.SZ,1991-12-02,27.5000,27.8500,0.0126
000001.SZ,1991-12-09,27.9000,27.5000,0.0145
000001.SZ,1991-12-30,29.2500,28.4500,0.0281
000001.SZ,1992-02-03,32.3500,31.1500,0.0385
000001.SZ,1992-03-23,21.5000,32.4500,0.3374
000001.SZ,1992-05-04,41.1500,38.5000,0.0688
000001.SZ,1993-05-24,28.5500,54.4000,0.4752
000001.SZ,1993-06-21,28.0500,27.7500,0.0108
000001.SZ,1993-07-05,27.2000,26.2000,0.0382
000001.SZ,1993-07-19,22.6000,22.0000,0.0273
000001.SZ,1994-07-11,8.6300,13.8000,0.3746
000001.SZ,1995-09-25,7.9800,9.8700,0.1915
000001.SZ,1996-05-27,9.1600,18.3200,0.5000
000001.SZ,1997-08-25,20.9100,31.5700,0.3377
000001.SZ,1999-10-18,22.0700,22.6700,0.0265
000001.SZ,2000-11-06,15.7400,17.7000,0.1107
000001.SZ,2002-07-23,14.3500,14.5000,0.0103
000001.SZ,2003-09-29,9.1900,9.3400,0.0161
000001.SZ,2008-10-31,8.6700,11.3100,0.2334
000001.SZ,2013-06-20,11.9200,19.2400,0.3805
000001.SZ,2014-06-12,9.6800,11.7800,0.1783
000001.SZ,2015-04-13,16.3600,19.8000,0.1737
000001.SZ,2016-06-16,8.5700,10.4400,0.1791
000001.SZ,2017-07-21,10.8100,10.9700,0.0146
000001.SZ,2018-07-12,8.6400,8.7800,0.0159
000001.SZ,2019-06-26,13.2900,13.4300,0.0104
000001.SZ,2020-05-28,12.7800,13.0000,0.0169
000001.SZ,2022-07-22,12.7800,13.0100,0.0177
000001.SZ,2023-06-14,11.4900,11.7700,0.0238
000001.SZ,2024-06-14,10.0800,10.8000,0.0667
000001.SZ,2024-10-10,11.4300,11.6800,0.0214
000001.SZ,2025-06-12,11.4900,11.8500,0.0304
000001.SZ,2025-10-15,11.3300,11.5700,0.0207
000002.SZ,1991-06-10,0.0583,0.0828,0.2959
000004.SZ,1991-01-21,2.4134,2.4381,0.0101
000004.SZ,1991-07-01,1.6803,1.7120,0.0185
000004.SZ,1991-07-08,1.5218,1.5376,0.0103
000004.SZ,1991-07-15,1.2206,1.2047,0.0132
000004.SZ,1991-07-22,1.2681,1.3791,0.0805
000004.SZ,1991-07-29,1.2998,1.2840,0.0123
000004.SZ,1991-08-05,1.2998,1.3157,0.0121
000004.SZ,1991-08-12,1.2998,1.2840,0.0123
000004.SZ,1991-09-02,1.2840,1.2998,0.0122
000004.SZ,1991-09-09,1.1572,1.1889,0.0267
000004.SZ,1991-09-16,1.2681,1.2523,0.0126
000004.SZ,1991-09-23,1.2523,1.2206,0.0260
000004.SZ,1991-09-30,1.2523,1.2681,0.0125
000004.SZ,1991-10-14,2.2351,2.1717,0.0292
000004.SZ,1991-10-21,2.2985,2.3460,0.0202
000004.SZ,1991-11-04,3.2971,3.1703,0.0400
000004.SZ,1991-11-11,3.9154,3.7410,0.0466
000004.SZ,1991-11-18,4.6762,4.9140,0.0484
000004.SZ,1991-11-25,4.3751,4.3116,0.0147
000004.SZ,1991-12-02,3.4240,3.5508,0.0357
000004.SZ,1991-12-16,3.4874,3.3605,0.0378
000004.SZ,1991-12-30,3.7727,3.6776,0.0259
000004.SZ,1992-05-04,6.8472,6.6570,0.0286
000004.SZ,1993-05-24,10.6379,10.2518,0.0377
000004.SZ,1993-07-05,10.3448,9.7587,0.0601
000004.SZ,1993-07-19,8.6158,8.4693,0.0173
000006.SZ,1992-05-04,0.9445,0.9114,0.0363
000006.SZ,1992-10-26,0.7677,1.0768,0.2871
000006.SZ,1993-06-07,0.7809,0.7654,0.0203
000006.SZ,1993-06-21,0.7692,0.7558,0.0177
000006.SZ,1993-07-05,0.7358,0.7157,0.0281
000006.SZ,1993-07-19,0.6020,0.5803,0.0374
000007.SZ,1992-11-09,2.8381,3.4145,0.1688
000007.SZ,1993-05-31,3.4954,3.3998,0.0281
000007.SZ,1993-06-21,3.5170,3.4415,0.0219
000007.SZ,1993-07-05,3.5601,3.3767,0.0543
000007.SZ,1993-07-19,2.8697,2.8265,0.0153
000008.SZ,1992-10-05,0.8794,0.8632,0.0188
000008.SZ,1993-05-31,0.7109,0.6519,0.0905
000008.SZ,1993-06-21,0.7326,0.7055,0.0384
000008.SZ,1993-07-05,0.7434,0.6892,0.0786
000009.SZ,1991-07-08,0.4501,0.4801,0.0625
000009.SZ,1991-07-22,0.4381,0.4861,0.0987
000009.SZ,1991-08-05,0.4381,0.4261,0.0282
000009.SZ,1991-08-19,0.4261,0.4381,0.0274
000009.SZ,1991-10-14,0.7081,0.6721,0.0536
000009.SZ,1991-11-04,1.0142,0.9961,0.0182
000009.SZ,1991-11-11,1.3382,1.2482,0.0721
000009.SZ,1991-11-18,1.7403,1.7943,0.0301
000009.SZ,1991-11-25,1.5962,1.6202,0.0148
000009.SZ,1991-12-02,1.2722,1.3322,0.0450
000009.SZ,1991-12-09,1.3382,1.3202,0.0136
000009.SZ,1991-12-16,1.2962,1.2662,0.0237
000009.SZ,1991-12-30,1.4402,1.4042,0.0256
000009.SZ,1992-05-04,2.7364,2.6044,0.0507
