ts_code,trade_date,jump_pct,factor_change_pct,type
000001.SZ,2000-11-06,0.1107,0.12452364275422366,因子数值不匹配
000001.SZ,2008-10-31,0.2334,0.3044983428634159,因子数值不匹配
000001.SZ,2013-06-20,0.3805,0.6140939529473417,因子数值不匹配
000001.SZ,2014-06-12,0.1783,0.21694243529216894,因子数值不匹配
000001.SZ,2015-04-13,0.1737,0.2102690053874663,因子数值不匹配
000001.SZ,2016-06-16,0.1791,0.21820259763097957,因子数值不匹配
000065.SZ,2005-11-11,0.2947,0.013698468524769454,因子数值不匹配
000430.SZ,2025-12-29,0.1304,0.14992700682776844,因子数值不匹配
000518.SZ,2000-02-28,0.0938,0.04095530131502,因子数值不匹配
000615.SZ,2025-12-29,0.1555,0.18413602675527993,因子数值不匹配
000691.SZ,2026-01-05,0.2253,0.29078001298368417,因子数值不匹配
000889.SZ,2001-08-30,0.2338,0.3051743091715422,因子数值不匹配
000889.SZ,2007-05-30,0.1304,0.14989714819052452,因子数值不匹配
000889.SZ,2020-07-10,0.2856,0.39974148784105956,因子数值不匹配
000890.SZ,2000-09-07,0.2856,0.3997696461835899,因子数值不匹配
000890.SZ,2001-06-22,0.2345,0.3063006845299733,因子数值不匹配
000890.SZ,2006-07-19,0.2412,0.3178810669846202,因子数值不匹配
000892.SZ,2001-10-16,0.3359,0.5057567338553127,因子数值不匹配
000893.SZ,2014-05-22,0.3395,0.5140987354996402,因子数值不匹配
000895.SZ,2000-06-06,0.2307,0.2998699879988923,因子数值不匹配
000895.SZ,2004-04-07,0.356,0.5526916170442698,因子数值不匹配
000895.SZ,2007-06-29,0.1742,0.21095590621743765,因子数值不匹配
000895.SZ,2013-05-03,0.5082,1.033309045330474,因子数值不匹配
000895.SZ,2015-05-20,0.3568,0.5546545255472104,因子数值不匹配
000897.SZ,2001-06-06,0.3615,0.5660727074826741,因子数值不匹配
000897.SZ,2004-04-30,0.3371,0.5085994713980818,因子数值不匹配
000897.SZ,2005-11-11,0.1746,0.21153801550771986,因子数值不匹配
000897.SZ,2008-05-21,0.2868,0.40204879928245413,因子数值不匹配
000898.SZ,2007-10-18,0.103,0.11488552328210198,因子数值不匹配
000898.SZ,2019-06-28,0.263,0.3567710940997868,因子数值不匹配
000899.SZ,2010-05-19,0.1554,0.1839286260113449,因子数值不匹配
000900.SZ,2012-07-06,0.3336,0.5005396812534626,因子数值不匹配
000900.SZ,2013-07-11,0.2457,0.3256577338906253,因子数值不匹配
000900.SZ,2014-06-12,0.2433,0.321503320116478,因子数值不匹配
000900.SZ,2017-07-06,0.3373,0.5089721186348218,因子数值不匹配
000901.SZ,2002-05-27,0.3764,0.6037107695349182,因子数值不匹配
000901.SZ,2003-06-09,0.2855,0.3996076168920744,因子数值不匹配
000901.SZ,2014-10-24,0.1829,0.2238281478838943,因子数值不匹配
000901.SZ,2018-06-05,0.3331,0.4995872572458492,因子数值不匹配
000902.SZ,2008-06-06,0.1664,0.1995891504566077,因子数值不匹配
000902.SZ,2016-05-31,0.5067,1.0270755251406896,因子数值不匹配
000903.SZ,2007-04-12,0.3398,0.5146448808371092,因子数值不匹配
000903.SZ,2011-05-19,0.4518,0.8242425928298891,因子数值不匹配
000903.SZ,2017-06-12,0.5045,1.0183487089059304,因子数值不匹配
000905.SZ,2006-10-17,0.4443,0.7993929693957598,因子数值不匹配
000906.SZ,2002-04-25,0.474,0.9012155234174348,因子数值不匹配
000906.SZ,2017-06-02,0.234,0.30545427320412755,因子数值不匹配
000906.SZ,2018-06-13,0.2367,0.31016958674642214,因子数值不匹配
000908.SZ,2000-04-19,0.5,1.0,因子数值不匹配
000908.SZ,2016-06-23,0.0979,0.108585733651287,因子数值不匹配
000908.SZ,2026-03-11,0.3155,0.46100933767334534,因子数值不匹配
000909.SZ,2013-06-18,0.3333,0.5000000000000002,因子数值不匹配
000910.SZ,2006-07-17,0.4996,0.9984898845245241,因子数值不匹配
000912.SZ,2003-05-27,0.2481,0.32988139691315543,因子数值不匹配
000913.SZ,2002-06-21,0.3805,0.6142278261023771,因子数值不匹配
000915.SZ,2002-09-27,0.4124,0.7019142771884547,因子数值不匹配
000915.SZ,2017-06-16,0.2331,0.3040318053012305,因子数值不匹配
000917.SZ,2004-05-12,0.2369,0.31048422926462477,因子数值不匹配
000917.SZ,2006-07-07,0.2306,0.29978097215543004,因子数值不匹配
000917.SZ,2008-05-20,0.1676,0.20134563588923482,因子数值不匹配
000917.SZ,2012-07-13,0.5479,1.2120441239658106,因子数值不匹配
000919.SZ,2004-08-17,0.182,0.22256623020850497,因子数值不匹配
000919.SZ,2006-07-10,0.3532,0.5459658361122784,因子数值不匹配
000920.SZ,2004-11-09,0.5,0.9999991095399436,因子数值不匹配
000922.SZ,2003-08-25,0.4115,0.6992336845571611,因子数值不匹配
000922.SZ,2020-05-25,0.1757,0.21311486674129576,因子数值不匹配
000925.SZ,2009-09-11,0.4999,0.9995574416191737,因子数值不匹配
000925.SZ,2018-06-21,0.2854,0.3993901179433202,因子数值不匹配
000926.SZ,2000-11-10,0.2307,0.2999418385171697,因子数值不匹配
000926.SZ,2007-05-22,0.4953,0.9815390917963016,因子数值不匹配
000926.SZ,2024-07-08,0.2888,0.4059827727347972,因子数值不匹配
000927.SZ,2002-07-29,0.1069,0.11968500000000004,因子数值不匹配
000928.SZ,2017-05-19,0.4461,0.8052468529664328,因子数值不匹配
000929.SZ,2000-06-09,0.1669,0.20028200000000007,因子数值不匹配
000929.SZ,2003-05-22,0.2854,0.3994711242857927,因子数值不匹配
000930.SZ,2002-07-12,0.4458,0.8044249801268925,因子数值不匹配
000930.SZ,2004-11-19,0.1716,0.20716483353313284,因子数值不匹配
000930.SZ,2005-12-07,0.4991,0.9965519602580838,因子数值不匹配
000932.SZ,2000-07-24,0.2046,0.25726099999999996,因子数值不匹配
000932.SZ,2019-06-13,0.2859,0.40042789214682273,因子数值不匹配
000933.SZ,2005-09-09,0.547,1.207521567108044,因子数值不匹配
000933.SZ,2009-06-19,0.3379,0.510443224886964,因子数值不匹配
000933.SZ,2010-05-26,0.2949,0.4181635162503618,因子数值不匹配
000933.SZ,2011-05-27,0.3802,0.613543211818026,因子数值不匹配
000935.SZ,2001-05-30,0.447,0.8084799609961829,因子数值不匹配
000936.SZ,2001-04-19,0.1697,0.20432000000000006,因子数值不匹配
000936.SZ,2004-06-16,0.4475,0.8100352057926704,因子数值不匹配
000936.SZ,2010-10-11,0.4117,0.6998576144473435,因子数值不匹配
000937.SZ,2005-05-16,0.3964,0.6567171152255344,因子数值不匹配
000937.SZ,2011-05-19,0.5052,1.021057164614659,因子数值不匹配
000937.SZ,2015-06-10,0.2368,0.3102377471057421,因子数值不匹配
000937.SZ,2022-06-29,0.1125,0.12674268174230308,因子数值不匹配
000937.SZ,2023-06-30,0.1359,0.8687496103504058,因子数值不匹配
000938.SZ,2000-05-11,0.375,0.6000350000000001,因子数值不匹配
000938.SZ,2018-07-05,0.2881,0.40467583837563625,因子数值不匹配
000938.SZ,2019-05-27,0.2887,0.405862273834767,因子数值不匹配
000938.SZ,2020-08-25,0.2881,0.4046367242119335,因子数值不匹配
000948.SZ,2012-04-25,0.0984,0.10911248909131777,因子数值不匹配
000948.SZ,2019-04-15,0.2331,0.3040001321291753,因子数值不匹配
000949.SZ,2001-06-07,0.5026,1.0105360578727571,因子数值不匹配
000949.SZ,2008-04-25,0.1697,0.20440256463984968,因子数值不匹配
000949.SZ,2011-07-12,0.2366,0.3099687976496812,因子数值不匹配
000950.SZ,2008-04-23,0.2093,0.26466392016736423,因子数值不匹配
000950.SZ,2010-04-16,0.3332,0.49959930006458925,因子数值不匹配
000951.SZ,2008-06-27,0.2306,0.2997860000000001,因子数值不匹配
000951.SZ,2016-05-13,0.3831,0.6210643551817556,因子数值不匹配
000951.SZ,2021-09-29,0.2858,0.40013304213422907,因子数值不匹配
000952.SZ,2020-05-29,0.1704,0.20533620504491476,因子数值不匹配
000953.SZ,2000-04-27,0.1667,0.2001059999999999,因子数值不匹配
000953.SZ,2003-05-27,0.3384,0.5115044954683601,因子数值不匹配
000955.SZ,2006-07-17,0.2315,0.30115775512812715,因子数值不匹配
000955.SZ,2013-05-20,0.23,0.2987012806516598,因子数值不匹配
000957.SZ,2000-06-02,0.4444,0.8,因子数值不匹配
000957.SZ,2016-07-27,0.5063,1.0256410256410255,因子数值不匹配
000958.SZ,2003-06-19,0.3389,0.5126902799729618,因子数值不匹配
000958.SZ,2017-05-17,0.5023,1.0091555891382544,因子数值不匹配
000959.SZ,2005-06-23,0.1013,0.11267654339730858,因子数值不匹配
000959.SZ,2006-04-05,0.0952,0.10526331748036309,因子数值不匹配
000960.SZ,2004-10-18,0.3333,0.5000004820415422,因子数值不匹配
000960.SZ,2008-04-29,0.1689,0.20321658455895575,因子数值不匹配
000960.SZ,2010-01-27,0.1367,0.15841265370369367,因子数值不匹配
000962.SZ,2000-08-28,0.4445,0.800117,因子数值不匹配
000962.SZ,2001-09-11,0.168,0.20188587619486903,因子数值不匹配
000963.SZ,2002-07-11,0.5007,1.0026737148623952,因子数值不匹配
000963.SZ,2006-11-01,0.3,0.016752297750267233,因子数值不匹配
000963.SZ,2017-05-24,0.5072,1.029398795659221,因子数值不匹配
000963.SZ,2018-06-13,0.3398,0.5147149486462003,因子数值不匹配
000963.SZ,2019-06-21,0.1759,0.21338224746612353,因子数值不匹配
000965.SZ,2009-05-15,0.3331,0.4994981556653005,因子数值不匹配
000965.SZ,2012-05-21,0.3333,0.500000605746352,因子数值不匹配
000966.SZ,2001-06-15,0.1767,0.21465567800708726,因子数值不匹配
000966.SZ,2016-06-23,0.5093,1.037956248194516,因子数值不匹配
000967.SZ,2008-06-06,0.3333,0.5000004869359942,因子数值不匹配
000967.SZ,2013-06-28,0.1692,0.20364176065610384,因子数值不匹配
000967.SZ,2016-07-05,0.3347,0.5030590273428005,因子数值不匹配
000967.SZ,2017-06-23,0.3344,0.50238300888486,因子数值不匹配
000968.SZ,2008-05-16,0.2327,0.3032387694023887,因子数值不匹配
000969.SZ,2001-04-11,0.378,0.6077699999999999,因子数值不匹配
000969.SZ,2005-04-22,0.2466,0.32733267265895927,因子数值不匹配
000969.SZ,2006-05-30,0.0987,0.10947107144754895,因子数值不匹配
000969.SZ,2010-04-28,0.446,0.8049293469275887,因子数值不匹配
000970.SZ,2001-04-19,0.4465,0.8065990000000001,因子数值不匹配
000970.SZ,2002-04-30,0.3362,0.5064516254022059,因子数值不匹配
000970.SZ,2004-09-22,0.5045,1.0180924334772024,因子数值不匹配
000970.SZ,2013-06-03,0.503,1.0122400356790764,因子数值不匹配
