ts_code,trade_date,jump_pct,factor_ratio,type
000065.SZ,2005-11-11,0.2947,1.0136984685247694,Mismatch (Ratio 1.0137)
000065.SZ,2007-06-06,0.4178,1.4234689279927215,Mismatch (Ratio 1.4235)
000518.SZ,2000-02-28,0.0938,1.04095530131502,Mismatch (Ratio 1.0410)
000937.SZ,2023-06-30,0.1359,0.1312503896495943,Mismatch (Ratio 0.1313)
000963.SZ,2006-11-01,0.3,1.0167522977502672,Mismatch (Ratio 1.0168)
000981.SZ,2022-02-25,0.4,1.0797268567233704,Mismatch (Ratio 1.0797)
000983.SZ,2024-07-12,0.0801,0.12095433453767564,Mismatch (Ratio 0.1210)
001299.SZ,2026-04-29,0.2524,1.0,Major Missing
001872.SZ,2004-06-22,0.2464,0,No Factor Records
001872.SZ,2005-07-06,0.249,0,No Factor Records
001872.SZ,2006-06-19,0.0505,0,No Factor Records
001872.SZ,2018-05-23,0.0547,0,No Factor Records
001914.SZ,2011-06-16,0.3415,0,No Factor Records
001914.SZ,2012-05-17,0.5085,0,No Factor Records
002048.SZ,2005-11-11,0.258,0,No Factor Records
002048.SZ,2006-04-21,0.2347,1.760849,Mismatch (Ratio 1.7608)
002111.SZ,2021-07-08,0.3009,0.413510958464514,Mismatch (Ratio 0.4135)
002166.SZ,2019-04-17,0.142,1.0054884393345709,Mismatch (Ratio 1.0055)
002233.SZ,2026-04-30,0.0503,1.0,Major Missing
002393.SZ,2026-04-28,0.1894,1.0,Major Missing
002401.SZ,2021-07-08,0.1739,0.20617749031217178,Mismatch (Ratio 0.2062)
002443.SZ,2021-07-08,0.0547,0.2875569520432603,Mismatch (Ratio 0.2876)
002466.SZ,2019-12-26,0.1586,1.0070838043056416,Mismatch (Ratio 1.0071)
003038.SZ,2022-03-29,0.1706,0,No Factor Records
003038.SZ,2022-03-30,0.2057,1.205712,Mismatch (Ratio 1.2057)
300159.SZ,2024-12-02,0.1771,1.0,Major Missing
300458.SZ,2026-04-30,0.1706,1.0,Major Missing
300501.SZ,2026-04-28,0.3239,1.0,Major Missing
300715.SZ,2019-12-30,0.1047,1.0,Major Missing
300996.SZ,2026-04-30,0.2895,1.0,Major Missing
301016.SZ,2026-04-30,0.2907,1.0,Major Missing
301117.SZ,2022-01-19,0.2936,0,No Factor Records
301122.SZ,2022-01-27,0.2665,0,No Factor Records
301127.SZ,2021-12-31,0.3044,0,No Factor Records
301158.SZ,2022-01-19,0.0583,0,No Factor Records
301171.SZ,2026-04-28,0.231,1.0,Major Missing
301172.SZ,2023-07-28,0.2979,0,No Factor Records
301210.SZ,2023-07-03,0.2957,0,No Factor Records
301216.SZ,2022-03-30,0.3613,0,No Factor Records
301263.SZ,2022-03-30,0.4779,0,No Factor Records
301280.SZ,2026-04-30,0.2881,1.0,Major Missing
301362.SZ,2023-08-07,0.1041,0,No Factor Records
301489.SZ,2023-10-25,0.2908,0,No Factor Records
301511.SZ,2023-08-18,0.2875,0,No Factor Records
301548.SZ,2023-09-21,0.3286,0,No Factor Records
301550.SZ,2023-09-18,0.5325,0,No Factor Records
600016.SH,2024-07-12,0.0566,0.040572449675657755,Mismatch (Ratio 0.0406)
600094.SH,2011-10-11,0.3341,0.7495710869738519,Mismatch (Ratio 0.7496)
600097.SH,2000-05-10,0.052,0.950588,Mismatch (Ratio 0.9506)
600132.SH,2020-01-02,0.1572,1.0172117268992538,Mismatch (Ratio 1.0172)
600133.SH,2020-01-02,0.106,1.0032153648005109,Mismatch (Ratio 1.0032)
600137.SH,2020-01-02,0.0555,1.0078333768889662,Mismatch (Ratio 1.0078)
600141.SH,2020-01-02,0.1427,1.0198411243456567,Mismatch (Ratio 1.0198)
600143.SH,2020-01-02,0.1051,1.0,Major Missing
600153.SH,2020-01-02,0.3194,1.0556792476774872,Mismatch (Ratio 1.0557)
600159.SH,2020-01-02,0.0553,1.017921194078132,Mismatch (Ratio 1.0179)
600295.SH,2023-06-30,0.3379,0.23786168057840348,Mismatch (Ratio 0.2379)
600372.SH,2007-04-25,0.1,1.0,Major Missing
600373.SH,2024-01-02,0.0843,1.0451264987262399,Mismatch (Ratio 1.0451)
600375.SH,2024-01-02,0.0603,1.02764978134855,Mismatch (Ratio 1.0276)
600377.SH,2024-01-02,0.0669,2.569692,Mismatch (Ratio 2.5697)
600381.SH,2014-06-27,7.0529,0.12417916424501464,Mismatch (Ratio 0.1242)
600425.SH,2024-01-02,0.0528,1.0212314734804273,Mismatch (Ratio 1.0212)
600426.SH,2024-01-02,0.0567,1.0266400282821881,Mismatch (Ratio 1.0266)
600428.SH,2024-01-02,0.0805,1.0239879448964004,Mismatch (Ratio 1.0240)
600452.SH,2024-01-02,0.3032,1.210288416177635,Mismatch (Ratio 1.2103)
600461.SH,2024-01-02,0.0827,1.0544304056212073,Mismatch (Ratio 1.0544)
600469.SH,2024-01-02,0.0547,1.007849059300384,Mismatch (Ratio 1.0078)
600475.SH,2024-01-02,0.0755,1.0330187060797618,Mismatch (Ratio 1.0330)
600477.SH,2024-01-02,0.0516,1.0072992052315195,Mismatch (Ratio 1.0073)
600479.SH,2024-01-02,0.0648,11.701405,Mismatch (Ratio 11.7014)
600480.SH,2024-01-02,0.2791,1.0138365803961606,Mismatch (Ratio 1.0138)
600483.SH,2024-01-02,0.063,1.346330035633727,Mismatch (Ratio 1.3463)
600497.SH,2024-01-02,0.0539,17.918983,Mismatch (Ratio 17.9190)
600502.SH,2024-01-02,0.1088,1.0460405289189398,Mismatch (Ratio 1.0460)
600508.SH,2024-01-02,0.0722,1.0512998549048027,Mismatch (Ratio 1.0513)
600511.SH,2024-01-02,0.0517,1.0207998560870941,Mismatch (Ratio 1.0208)
600529.SH,2024-01-02,0.0529,1.0110537997010611,Mismatch (Ratio 1.0111)
600531.SH,2024-01-02,0.0514,1.0199005136781507,Mismatch (Ratio 1.0199)
600535.SH,2024-01-02,0.0691,1.0222522175530895,Mismatch (Ratio 1.0223)
600548.SH,2024-01-02,0.072,1.0500000242713852,Mismatch (Ratio 1.0500)
