ts_code,trade_date,diff_pct,t_pre_close,t_1_close,factor_now,factor_prev,reason
000001.SZ,2000-11-06,0.1107,15.7400,17.7000,28.953063,25.746958,因子未变动
000001.SZ,2008-10-31,0.2334,8.6700,11.3100,38.786931,29.733216,因子未变动
000001.SZ,2013-06-20,0.3805,11.9200,19.2400,63.072621,39.076177,因子未变动
000001.SZ,2014-06-12,0.1783,9.6800,11.7800,76.755749,63.072621,因子未变动
000001.SZ,2015-04-13,0.1737,16.3600,19.8000,92.895104,76.755749,因子未变动
000001.SZ,2016-06-16,0.1791,8.5700,10.4400,113.165057,92.895104,因子未变动
000065.SZ,2005-11-11,0.2947,0.7952,1.1274,3.007321,2.966682,因子未变动
000430.SZ,2025-12-29,0.1304,6.8700,7.9000,3.560381,3.096180,因子未变动
000518.SZ,2000-02-28,0.0938,1.1019,1.0074,1.388447,1.333820,因子未变动
000538.SZ,2026-04-30,0.0289,53.0500,54.6300,30.442600,30.442600,因子未变动
000563.SZ,2026-04-28,0.0183,3.2200,3.2800,18.898100,18.898100,因子未变动
000568.SZ,2026-01-30,0.0109,122.8700,124.2300,29.246034,1.000000,因子未变动
000615.SZ,2025-12-29,0.1555,3.5300,4.1800,5.973418,5.044537,因子未变动
000691.SZ,2026-01-05,0.2253,7.0500,9.1000,2.628547,2.036402,因子未变动
000739.SZ,2026-04-29,0.0122,18.5800,18.8100,13.581700,13.581700,因子未变动
000889.SZ,2001-08-30,0.2338,9.4700,12.3600,2.433876,1.864790,因子未变动
000889.SZ,2007-05-30,0.1304,9.7400,11.2000,2.809009,2.442835,因子未变动
000889.SZ,2020-07-10,0.2856,7.7300,10.8200,4.040379,2.886518,因子未变动
000890.SZ,2000-09-07,0.2856,17.4100,24.3700,1.429218,1.021038,因子未变动
000890.SZ,2001-06-22,0.2345,16.0300,20.9400,1.936370,1.482331,因子未变动
000890.SZ,2006-07-19,0.2412,3.0200,3.9800,2.692518,2.043066,因子未变动
000892.SZ,2001-10-16,0.3359,12.1600,18.3100,2.486039,1.651023,因子未变动
000893.SZ,2014-05-22,0.3395,10.6400,16.1100,1.536250,1.014630,因子未变动
000895.SZ,2000-06-06,0.2307,15.4400,20.0700,1.689675,1.299880,因子未变动
000895.SZ,2004-04-07,0.3560,13.1900,20.4800,2.844795,1.832170,因子未变动
