ts_code,missing_date,list_date
001872.SZ,2012-09-10,1993-05-05
001914.SZ,2012-09-10,1994-09-28
300344.SZ,2026-04-22,2012-08-01
300344.SZ,2026-04-23,2012-08-01
300344.SZ,2026-04-24,2012-08-01
300344.SZ,2026-04-27,2012-08-01
300344.SZ,2026-04-28,2012-08-01
300344.SZ,2026-04-29,2012-08-01
300344.SZ,2026-04-30,2012-08-01
300391.SZ,2026-04-13,2014-08-01
300391.SZ,2026-04-14,2014-08-01
300391.SZ,2026-04-15,2014-08-01
300391.SZ,2026-04-16,2014-08-01
300391.SZ,2026-04-17,2014-08-01
300391.SZ,2026-04-20,2014-08-01
300391.SZ,2026-04-21,2014-08-01
300391.SZ,2026-04-22,2014-08-01
300391.SZ,2026-04-23,2014-08-01
300391.SZ,2026-04-24,2014-08-01
300391.SZ,2026-04-27,2014-08-01
300391.SZ,2026-04-28,2014-08-01
300391.SZ,2026-04-29,2014-08-01
300391.SZ,2026-04-30,2014-08-01
600000.SH,2026-04-14,1999-11-10
600000.SH,2026-04-15,1999-11-10
600000.SH,2026-04-16,1999-11-10
600200.SH,2025-12-31,1999-04-01
600200.SH,2026-01-05,1999-04-01
600200.SH,2026-01-06,1999-04-01
600200.SH,2026-01-07,1999-04-01
600200.SH,2026-01-08,1999-04-01
600200.SH,2026-01-09,1999-04-01
600200.SH,2026-01-12,1999-04-01
600200.SH,2026-01-13,1999-04-01
600200.SH,2026-01-14,1999-04-01
600200.SH,2026-01-15,1999-04-01
600200.SH,2026-01-16,1999-04-01
600200.SH,2026-01-19,1999-04-01
600200.SH,2026-01-20,1999-04-01
600200.SH,2026-01-21,1999-04-01
600200.SH,2026-01-22,1999-04-01
600200.SH,2026-01-23,1999-04-01
600200.SH,2026-01-26,1999-04-01
600200.SH,2026-01-27,1999-04-01
600200.SH,2026-01-28,1999-04-01
600200.SH,2026-01-29,1999-04-01
600200.SH,2026-01-30,1999-04-01
600200.SH,2026-02-02,1999-04-01
600200.SH,2026-02-03,1999-04-01
600200.SH,2026-02-04,1999-04-01
600200.SH,2026-02-05,1999-04-01
600200.SH,2026-02-06,1999-04-01
600200.SH,2026-02-09,1999-04-01
600200.SH,2026-02-10,1999-04-01
600200.SH,2026-02-11,1999-04-01
600200.SH,2026-02-12,1999-04-01
600200.SH,2026-02-13,1999-04-01
600200.SH,2026-02-24,1999-04-01
600200.SH,2026-02-25,1999-04-01
600200.SH,2026-02-26,1999-04-01
600200.SH,2026-02-27,1999-04-01
600200.SH,2026-03-02,1999-04-01
600200.SH,2026-03-03,1999-04-01
600200.SH,2026-03-04,1999-04-01
600200.SH,2026-03-05,1999-04-01
600200.SH,2026-03-06,1999-04-01
600200.SH,2026-03-09,1999-04-01
600200.SH,2026-03-10,1999-04-01
600200.SH,2026-03-11,1999-04-01
600200.SH,2026-03-12,1999-04-01
600200.SH,2026-03-13,1999-04-01
600200.SH,2026-03-16,1999-04-01
600200.SH,2026-03-17,1999-04-01
600200.SH,2026-03-18,1999-04-01
600200.SH,2026-03-19,1999-04-01
600200.SH,2026-03-20,1999-04-01
600200.SH,2026-03-23,1999-04-01
600200.SH,2026-03-24,1999-04-01
600200.SH,2026-03-25,1999-04-01
600200.SH,2026-03-26,1999-04-01
600200.SH,2026-03-27,1999-04-01
600200.SH,2026-03-30,1999-04-01
600200.SH,2026-03-31,1999-04-01
600200.SH,2026-04-01,1999-04-01
600200.SH,2026-04-02,1999-04-01
600200.SH,2026-04-03,1999-04-01
600200.SH,2026-04-07,1999-04-01
600200.SH,2026-04-08,1999-04-01
600200.SH,2026-04-09,1999-04-01
600200.SH,2026-04-10,1999-04-01
600200.SH,2026-04-13,1999-04-01
600200.SH,2026-04-14,1999-04-01
600200.SH,2026-04-15,1999-04-01
600200.SH,2026-04-16,1999-04-01
600200.SH,2026-04-17,1999-04-01
600200.SH,2026-04-20,1999-04-01
600200.SH,2026-04-21,1999-04-01
600200.SH,2026-04-22,1999-04-01
600200.SH,2026-04-23,1999-04-01
600200.SH,2026-04-24,1999-04-01
600200.SH,2026-04-27,1999-04-01
600200.SH,2026-04-28,1999-04-01
600200.SH,2026-04-29,1999-04-01
600200.SH,2026-04-30,1999-04-01
